Date Time,Site_060370016,Site_060371103,Site_060371201,Site_060374004,Site_060376012
2016-01-13 11:00:00,14,21,-1,30,1
2016-01-13 12:00:00,25,21,17,21,-1
2016-01-13 13:00:00,14,19,10,20,0
2016-01-13 14:00:00,14,10,12,7,1
2016-01-13 15:00:00,26,9,14,6,3
2016-01-13 16:00:00,30,11,13,3,4
2016-01-13 17:00:00,24,10,13,1,5
2016-01-13 18:00:00,17,9,14,0,6
2016-01-13 19:00:00,19,8,19,3,9
2016-01-13 20:00:00,13,7,23,8,12
2016-01-13 21:00:00,19,16,19,4,11
2016-01-13 22:00:00,9,20,25,3,8
2016-01-13 23:00:00,23,21,34,4,8
2016-01-14 00:00:00,22,16,22,7,5
2016-01-14 01:00:00,22,23,24,9,1
2016-01-14 02:00:00,11,24,27,8,1
2016-01-14 03:00:00,17,25,21,17,2
2016-01-14 04:00:00,14,26,10,10,2
2016-01-14 05:00:00,15,23,16,12,3
2016-01-14 06:00:00,18,21,23,12,5
2016-01-14 07:00:00,18,20,15.1,17,6
2016-01-14 08:00:00,12,23,18,26,6
2016-01-14 09:00:00,19,26,28,17,6
2016-01-14 10:00:00,13,32,32,17,6
2016-01-14 11:00:00,15,29,34,28,5
2016-01-14 12:00:00,15,29,22,8,2
2016-01-14 13:00:00,18,28,19,9,4
2016-01-14 14:00:00,15,31,10,10,7
2016-01-14 15:00:00,23,36,12,16,3
2016-01-14 16:00:00,20.1,26,11,17,2
2016-01-14 17:00:00,22.3,17,11,15,8
2016-01-14 18:00:00,18,22,12,20,12
2016-01-14 19:00:00,15,17,13,18,10
2016-01-14 20:00:00,24,16,13,12,9
2016-01-14 21:00:00,18,15,13,10,8
2016-01-14 22:00:00,31.8,16,23,8,10
2016-01-14 23:00:00,26,25,28,9,11.8
2016-01-15 00:00:00,33,21,24,9,10
2016-01-15 01:00:00,31,23,16,16,8
2016-01-15 02:00:00,28,23,22,15,8
2016-01-15 03:00:00,26,28,24,18,9
2016-01-15 04:00:00,18,28,15,10,13
2016-01-15 05:00:00,26,33,21,9,17
2016-01-15 06:00:00,23,30,25,16,16
2016-01-15 07:00:00,18,31,26,18,19
2016-01-15 08:00:00,26,30,28,9,19
2016-01-15 09:00:00,20,30,31,18,19.1
2016-01-15 10:00:00,21,28,33,18,9
2016-01-15 11:00:00,21,19,31,20,6
2016-01-15 12:00:00,16,17,20,18,4
2016-01-15 13:00:00,13,22,14,11,4
2016-01-15 14:00:00,21,27,15,8,2
2016-01-15 15:00:00,18,22,11,5,-1
2016-01-15 16:00:00,14,18,7,4.6000000000000005,-1
2016-01-15 17:00:00,14,17,16,3,1
2016-01-15 18:00:00,18,14,15,2,4
2016-01-15 19:00:00,12.5,10,15,1,12
